,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,-1.0,100,2020,0.02
2,20,0.0,200,4020,-0.08
3,20,0.0,300,6020,0.08
4,20,-2.0,400,8020,0.21
5,20,1.0,500,10020,0.46
6,20,2.0,600,12020,0.5
7,20,0.0,700,14020,0.6
8,20,1.0,800,16020,0.71
9,20,1.0,900,18020,0.8
10,20,1.0,1000,20020,0.91
11,20,1.0,1100,22020,0.63
12,20,1.0,1200,24020,0.74
13,20,-1.0,1300,26020,0.87
14,20,1.0,1400,28020,0.76
15,20,1.0,1500,30020,0.61
16,20,2.0,1600,32020,0.61
17,20,0.0,1700,34020,0.74
18,20,2.0,1800,36020,0.9
19,20,0.0,1900,38020,0.9
20,20,4.0,2000,40020,0.93
21,20,2.0,2100,42020,0.91
22,20,1.0,2200,44020,1.16
23,20,-1.0,2300,46020,1.05
24,20,1.0,2400,48020,1.0
25,20,-1.0,2500,50020,1.01
26,20,0.0,2600,52020,1.05
27,20,2.0,2700,54020,1.14
28,20,3.0,2800,56020,1.02
29,20,3.0,2900,58020,1.13
30,20,1.0,3000,60020,1.23
31,20,2.0,3100,62020,1.27
32,20,2.0,3200,64020,1.2
33,20,1.0,3300,66020,1.13
34,20,0.0,3400,68020,1.27
35,20,2.0,3500,70020,1.04
36,20,-1.0,3600,72020,1.34
37,20,2.0,3700,74020,1.09
38,20,1.0,3800,76020,1.15
39,20,1.0,3900,78020,1.16
40,20,0.0,4000,80020,1.04
41,20,1.0,4100,82020,1.48
42,20,2.0,4200,84020,1.3
43,20,1.0,4300,86020,1.09
44,20,1.0,4400,88020,1.27
45,20,0.0,4500,90020,1.22
46,20,0.0,4600,92020,1.4
47,20,1.0,4700,94020,1.24
48,20,3.0,4800,96020,1.07
49,20,2.0,4900,98020,1.24
50,20,2.0,5000,100020,1.1
51,20,0.0,5100,102020,1.12
52,20,1.0,5200,104020,1.19
53,20,0.0,5300,106020,1.24
54,20,1.0,5400,108020,1.33
55,20,2.0,5500,110020,1.25
56,20,0.0,5600,112020,1.19
57,20,2.0,5700,114020,1.25
58,20,1.0,5800,116020,1.41
59,20,1.0,5900,118020,1.51
60,20,1.0,6000,120020,1.08
61,20,1.0,6100,122020,1.34
62,20,2.0,6200,124020,1.24
63,20,0.0,6300,126020,1.38
64,20,1.0,6400,128020,1.4
65,20,-1.0,6500,130020,1.33
66,20,-1.0,6600,132020,1.13
67,20,2.0,6700,134020,1.2
68,20,2.0,6800,136020,1.27
69,20,3.0,6900,138020,1.42
70,20,3.0,7000,140020,1.33
71,20,0.0,7100,142020,1.54
72,20,3.0,7200,144020,1.16
73,20,1.0,7300,146020,1.5
74,20,2.0,7400,148020,1.47
75,20,2.0,7500,150020,1.49
76,20,2.0,7600,152020,1.32
77,20,2.0,7700,154020,1.52
78,20,2.0,7800,156020,1.41
79,20,1.0,7900,158020,1.42
80,20,3.0,8000,160020,1.36
81,20,3.0,8100,162020,1.55
82,20,3.0,8200,164020,1.4
83,20,1.0,8300,166020,1.3
84,20,2.0,8400,168020,1.32
85,20,2.0,8500,170020,1.35
86,20,1.0,8600,172020,1.22
87,20,1.0,8700,174020,1.29
88,20,0.0,8800,176020,1.44
89,20,-1.0,8900,178020,1.6
90,20,1.0,9000,180020,1.53
91,20,2.0,9100,182020,1.5
92,20,3.0,9200,184020,1.52
93,20,0.0,9300,186020,1.37
94,20,1.0,9400,188020,1.24
95,20,0.0,9500,190020,1.27
96,20,2.0,9600,192020,1.55
97,20,0.0,9700,194020,1.34
98,20,3.0,9800,196020,1.7
99,20,1.0,9900,198020,1.58
100,20,2.0,10000,200020,1.61
