,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,-1.0,100,2020,0.0
2,20,0.0,200,4020,0.09
3,20,1.0,300,6020,-0.02
4,20,1.0,400,8020,0.38
5,20,1.0,500,10020,0.66
6,20,0.0,600,12020,0.72
7,20,2.0,700,14020,0.87
8,20,0.0,800,16020,0.92
9,20,2.0,900,18020,0.65
10,20,2.0,1000,20020,0.89
11,20,1.0,1100,22020,0.71
12,20,1.0,1200,24020,0.73
13,20,1.0,1300,26020,0.83
14,20,1.0,1400,28020,0.79
15,20,1.0,1500,30020,0.82
16,20,1.0,1600,32020,0.94
17,20,1.0,1700,34020,0.85
18,20,1.0,1800,36020,0.92
19,20,1.0,1900,38020,1.18
20,20,1.0,2000,40020,0.93
21,20,-2.0,2100,42020,1.04
22,20,0.0,2200,44020,0.93
23,20,2.0,2300,46020,0.96
24,20,1.0,2400,48020,1.18
25,20,2.0,2500,50020,0.92
26,20,1.0,2600,52020,0.83
27,20,0.0,2700,54020,0.7
28,20,1.0,2800,56020,0.82
29,20,1.0,2900,58020,0.92
30,20,1.0,3000,60020,1.04
31,20,1.0,3100,62020,0.97
32,20,1.0,3200,64020,0.91
33,20,2.0,3300,66020,0.94
34,20,1.0,3400,68020,0.85
35,20,0.0,3500,70020,0.94
36,20,2.0,3600,72020,0.94
37,20,2.0,3700,74020,0.94
38,20,2.0,3800,76020,1.04
39,20,1.0,3900,78020,1.05
40,20,1.0,4000,80020,0.94
41,20,2.0,4100,82020,1.09
42,20,2.0,4200,84020,1.0
43,20,1.0,4300,86020,1.15
44,20,1.0,4400,88020,1.2
45,20,1.0,4500,90020,1.1
46,20,1.0,4600,92020,1.22
47,20,1.0,4700,94020,1.33
48,20,1.0,4800,96020,1.09
49,20,1.0,4900,98020,1.15
50,20,0.0,5000,100020,1.1
51,20,1.0,5100,102020,1.25
52,20,1.0,5200,104020,1.14
53,20,2.0,5300,106020,1.19
54,20,0.0,5400,108020,1.09
55,20,1.0,5500,110020,1.23
56,20,1.0,5600,112020,1.17
57,20,2.0,5700,114020,1.12
58,20,1.0,5800,116020,1.03
59,20,1.0,5900,118020,1.23
60,20,1.0,6000,120020,1.18
61,20,0.0,6100,122020,1.11
62,20,2.0,6200,124020,1.22
63,20,2.0,6300,126020,1.22
64,20,2.0,6400,128020,1.13
65,20,2.0,6500,130020,1.21
66,20,0.0,6600,132020,1.28
67,20,2.0,6700,134020,1.17
68,20,0.0,6800,136020,1.1
69,20,2.0,6900,138020,1.19
70,20,1.0,7000,140020,1.09
71,20,1.0,7100,142020,1.27
72,20,2.0,7200,144020,1.22
73,20,1.0,7300,146020,1.28
74,20,1.0,7400,148020,1.16
75,20,1.0,7500,150020,1.3
76,20,2.0,7600,152020,1.19
77,20,1.0,7700,154020,1.19
78,20,1.0,7800,156020,1.19
79,20,2.0,7900,158020,1.35
80,20,2.0,8000,160020,1.26
81,20,1.0,8100,162020,1.25
82,20,2.0,8200,164020,1.17
83,20,1.0,8300,166020,1.11
84,20,2.0,8400,168020,1.07
85,20,0.0,8500,170020,1.17
86,20,1.0,8600,172020,1.24
87,20,0.0,8700,174020,1.09
88,20,2.0,8800,176020,1.29
89,20,1.0,8900,178020,1.21
90,20,2.0,9000,180020,1.24
91,20,2.0,9100,182020,1.29
92,20,1.0,9200,184020,1.23
93,20,0.0,9300,186020,1.27
94,20,1.0,9400,188020,1.33
95,20,2.0,9500,190020,1.09
96,20,1.0,9600,192020,1.26
97,20,1.0,9700,194020,1.07
98,20,1.0,9800,196020,1.16
99,20,1.0,9900,198020,1.29
100,20,1.0,10000,200020,1.32
